epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,1561.97,0.63395,0.73895,1.25431,0.70415,0.62901,0.67275,0.49353,1.04248,1.35498,1.764,0.0001121,0.0001121,0.0001121
137,1573.02,0.61577,0.74407,1.25173,0.63979,0.71049,0.6958,0.51421,1.05151,1.30979,1.81114,0.000104701,0.000104701,0.000104701
138,1584.11,0.61077,0.71447,1.23839,0.69316,0.6927,0.70383,0.5175,1.06437,1.22323,1.83596,9.73014e-05,9.73014e-05,9.73014e-05
139,1595.09,0.62096,0.71165,1.24202,0.69214,0.70007,0.70343,0.51769,1.06433,1.20246,1.83217,8.99021e-05,8.99021e-05,8.99021e-05
140,1606.23,0.61869,0.71757,1.24375,0.68367,0.69726,0.68526,0.51113,1.05294,1.32332,1.8183,8.25029e-05,8.25029e-05,8.25029e-05
141,1616.81,0.50625,0.58842,1.11532,0.73897,0.61927,0.65546,0.47034,1.19806,1.37096,2.03054,7.51036e-05,7.51036e-05,7.51036e-05
142,1627.38,0.43366,0.43825,1.07816,0.67668,0.66935,0.69345,0.5048,1.10401,1.25029,1.85702,6.77043e-05,6.77043e-05,6.77043e-05
143,1638.02,0.43684,0.42933,1.07317,0.66148,0.69888,0.70715,0.52254,1.10657,1.17767,1.8693,6.03051e-05,6.03051e-05,6.03051e-05
144,1649.54,0.41898,0.42093,1.05586,0.70888,0.69309,0.70986,0.52456,1.09726,1.18013,1.84956,5.29058e-05,5.29058e-05,5.29058e-05
145,1661.2,0.41266,0.39281,1.04585,0.71416,0.67443,0.7114,0.521,1.10428,1.1681,1.85522,4.55066e-05,4.55066e-05,4.55066e-05
146,1672.1,0.4146,0.39318,1.03356,0.66261,0.73218,0.71214,0.52022,1.09693,1.16329,1.86069,3.81073e-05,3.81073e-05,3.81073e-05
147,1682.65,0.41037,0.3926,1.04667,0.71173,0.68825,0.7089,0.52199,1.0886,1.15933,1.85733,3.0708e-05,3.0708e-05,3.0708e-05
148,1693.26,0.40573,0.38267,1.05061,0.76185,0.65422,0.72029,0.52296,1.08468,1.16767,1.86221,2.33088e-05,2.33088e-05,2.33088e-05
149,1703.84,0.39288,0.39105,1.02549,0.73838,0.67957,0.72573,0.52997,1.08965,1.13964,1.86397,1.59095e-05,1.59095e-05,1.59095e-05
150,1715.69,0.40314,0.3775,1.04393,0.75364,0.6748,0.7238,0.52981,1.09238,1.13887,1.86741,8.51026e-06,8.51026e-06,8.51026e-06
